FSO_Att,Absolute Humidity,Wind Speed,Visibility,Time,Wind Speed Max,Temperature,Temperature Difference,Particulate,Distance,SYNOP Code
5.329119068,5.762212461,0,12116.47504,15,0.001719346,2.895659043,-0.198,8.94374387,4822.406375,5
5.361847557,5.658625609,0,11976.76576,15,0.070145102,2.943823776,-0.152,4.946208619,4825.548641,5
5.312546556,5.70737074,0,12082.7875,15,0,2.989592774,-0.15,5.061485549,4818.315189,5
5.35476285,5.672972729,0,11859.70299,15,0.326425824,2.884884492,-0.15,4.978372672,4822.538428,5
5.217144143,5.697883339,0,12172.24209,15,0.231867538,2.834569809,-0.2,0,4823.105792,5
5.010157939,5.72234467,0,12341.78384,15,0.046590354,2.926399351,-0.115,0,4825.155707,0
5.637256745,5.59168627,0,11943.86345,15,0.304547191,2.875678945,-0.2,4.955586546,4821.237792,6
5.729996074,5.544272752,0,12558.96952,15,0.264644051,2.74043108,-0.2,5.000373622,4825.895815,6
5.532518826,5.65970533,0,12164.20305,15,0.086352471,2.785595327,-0.2,5.069243637,4825.173314,5
5.648311941,5.63031626,0,12133.21389,15,0.15974809,2.705889403,-0.2,4.915132902,4824.44085,5
5.430977514,5.749868463,0,12087.53796,15,0.193665445,2.89713485,-0.2,0,4822.395584,5
5.653788471,5.767545747,0,12110.41617,15,0.576602204,2.734918425,-0.2,5.031084314,4818.165682,5
5.874351786,5.777288404,0,12507.80627,15,0.551175061,2.842979489,-0.2,8.055898932,4819.062153,5
5.695159532,5.735643659,0,12837.90361,15,0.197101613,2.71100472,-0.2,7.84243784,4823.579014,5
5.790154899,5.630298467,0,12854.94726,15,0.118085931,2.767395935,-0.18,8.106163248,4825.709518,5
5.296456986,5.638816735,0,12669.3541,15,0.280680009,2.863598919,-0.15,0,4826.450745,5
5.572301826,5.652438465,0,12476.14358,15,0.259202846,2.758150449,-0.05,9.912681186,4819.899894,6
5.682307377,5.619079099,0,12133.51624,15,0.33885723,2.889915885,-0.1,7.908059374,4823.080636,6
5.967557182,5.766084491,0,12441.574,15,0.479412767,2.737187537,-0.068,9.146698613,4826.148159,6
5.57827656,5.647696403,0,13275.5602,15,0.034027636,2.830730155,-0.03,8.912462626,4819.631754,6
4.94255262,5.822864939,0,12114.20167,15,0.144476298,2.875031095,-0.047,0,4819.774588,0
4.713014022,5.723579908,0,11149.32706,16,0,2.834733889,0,0,4826.319976,0
4.908354335,5.664448173,0.027912742,11552.28565,16,0.067423143,2.864007569,0.03,0,4824.07114,0
4.549820045,5.741356521,0,10290.93889,16,0.356984725,2.774218676,-0.1,0,4818.180504,0
4.19484606,5.710115266,0,9787.121865,16,1.121053205,2.809857949,0.005,0,4824.44579,0
4.531481234,5.661672335,0.087281213,9647.016762,17,1.426695507,2.869275233,0,0,4823.80845,0
4.577258226,5.736917378,0.508202836,9002.083028,17,1.188221928,2.984614185,0.032,0,4825.846772,0
4.882250568,5.677088091,0,9253.497655,17,1.491573871,3.024973602,0.1,0,4824.374532,0
5.188293034,5.686096517,0.65247199,8104.478223,17,1.163825973,2.937734162,0.1,0,4826.491624,0
4.864713296,5.743414688,0,9139.656489,18,0.173807575,3.150182684,0.064,0,4818.430545,0
5.04090072,5.668347161,0,8265.102292,18,1.29820971,2.975656319,-0.1,0,4820.574193,0
5.057669307,5.688310894,0,8672.104605,18,1.571710333,3.064995135,0,0,4826.183035,0
4.953322508,5.776277029,0.082600546,8582.989278,18,0.547409035,2.975653437,-0.1,0,4819.35789,0
5.125594092,5.856480541,0.223719372,9234.551499,19,0.903366028,3.116123926,0.2,0,4822.327127,0
5.150828476,5.907613109,0.149884816,9435.650633,19,0.311599134,3.186270249,0.243,0,4826.248231,0
4.966954699,5.928018861,0.780012788,9779.749296,19,1.558374525,3.165263477,0.2,0,4819.959179,0
4.924972847,5.730069088,0,10291.16661,19,0.79578631,3.347632631,0.2,0,4823.713549,0
5.450067961,5.806558383,0.684229253,11007.37813,20,1.058502995,3.540657236,0.35,0,4822.269534,0
