RFL_Att,Temperature,Relative Humidity,Visibility (m),Temperature Difference,Absolute Humidity,Time,Frequency,Distance,Rain Intensity,SYNOP Code
16.41945053,11.55687323,98.75720916,3121.578093,-0.45,10.27485101,6,83500000000,2012.8197,0.818923576,6
16.62242004,11.6161187,98.40460944,4389.582588,-0.5,10.20627616,6,83500000000,2013.177865,1.336571731,6
16.09450613,11.53483346,97.96244033,4337.377931,-0.5,10.0901329,6,83500000000,2012.980748,0.616051381,6
16.16023047,11.58853791,99.24777416,4133.775531,-0.5,10.30320694,6,83500000000,2013.862512,0.482078987,6
15.35352663,11.63710758,98.0856958,4672.53451,-0.5,10.2343828,6,83500000000,2016.015748,0.496319059,6
15.89934816,11.48478703,99.11605315,4341.985754,-0.5,10.28737937,6,83500000000,2021.487911,0.49748812,6
15.12615746,11.57203254,99.02294632,5040.058225,-0.5,10.37486021,6,83500000000,2021.769158,0.297099405,6
15.52388471,11.54674738,98.12079834,3918.235767,-0.55,10.29813815,6,83500000000,2021.402829,0.291166769,6
15.98668386,11.50837627,99.37615941,3917.21565,-0.5,10.23238431,6,83500000000,2019.033448,0.751115109,6
15.8294297,11.52269458,98.73381431,4417.133914,-0.6,10.14157524,6,83500000000,2020.859043,0.617038835,6
16.0059449,11.48561652,98.56663395,4870.086418,-0.6,10.27538859,6,83500000000,2013.311781,0.708706678,6
16.19433891,11.50297785,98.5220634,3641.501877,-0.6,10.28373984,6,83500000000,2013.995059,0.588773767,6
17.74804264,11.52592004,99.28371555,3226.085328,-0.6,10.28106873,6,83500000000,2015.939161,1.486511431,6
17.09027772,11.45921017,99.39980076,3349.684519,-0.6,10.13616317,6,83500000000,2018.726707,1.375825093,6
18.08314758,11.3672894,98.97876974,4146.077989,-0.6,10.2157825,6,83500000000,2019.3633,1.68142422,6
18.13298213,11.44911993,99.09194631,2996.653153,-0.6,10.24707178,6,83500000000,2014.514145,1.639998385,6
17.80974335,11.52658114,99.18962476,3146.899182,-0.55,10.27695826,6,83500000000,2016.37774,1.71049116,6
16.87743591,11.52170433,98.73910703,3470.564087,-0.55,10.17115238,6,83500000000,2020.173973,1.206553251,6
16.7841151,11.43372838,99.01178967,3308.762441,-0.5,10.24758034,7,83500000000,2016.511115,1.063294907,6
17.09618182,11.52862999,98.83397011,2829.410541,-0.5,10.16408234,7,83500000000,2012.749663,1.219636756,6
16.6606964,11.45544278,98.58323941,3076.720395,-0.5,10.15658997,7,83500000000,2017.525281,1.42543505,6
17.00724996,11.51515859,98.72153677,2938.973031,-0.5,10.30609863,7,83500000000,2020.341044,1.244735714,6
16.50541094,11.38260458,98.56863068,3101.272959,-0.5,10.30176161,7,83500000000,2020.865697,0.951380725,6
16.3718895,11.40537711,99.34646145,3463.025032,-0.41,10.20435048,7,83500000000,2020.312774,1.144629064,6
16.58553696,11.30325233,98.83200449,3633.897079,-0.5,10.1541785,7,83500000000,2021.218536,1.345383318,6
16.62396597,11.3100275,99.43159296,3524.828922,-0.5,10.15825186,7,83500000000,2014.940942,1.17433703,6
16.75009414,11.32509911,98.85805138,3624.31969,-0.5,10.17717278,7,83500000000,2017.127814,1.114656732,6
16.38447499,11.31267069,99.00788823,3912.541593,-0.5,10.18041671,7,83500000000,2018.758524,1.290377783,6
16.39256291,11.34232241,99.28567765,4579.75094,-0.5,10.08736829,7,83500000000,2018.02091,0.995140058,6
16.07170116,11.39059333,99.48215025,4217.411086,-0.4,10.17492395,7,83500000000,2018.650465,0.658302772,6
16.27550421,11.38228117,98.96202216,4968.91514,-0.4,10.07550405,7,83500000000,2017.294176,0.884890629,6
15.66759308,11.33485711,98.87983358,4127.179117,-0.4,10.22661546,7,83500000000,2014.385451,0.484957799,6
15.59729981,11.40232683,98.66708624,4765.800324,-0.4,10.07133613,7,83500000000,2014.718956,0.365121854,6
16.40565597,11.43520397,99.49968341,3228.942588,-0.3,10.13543801,7,83500000000,2019.497998,0.773272422,6
16.9282594,11.35567029,99.15736795,2842.759317,-0.26,10.16883443,7,83500000000,2013.039013,1.333196219,6
17.79628903,11.27357907,98.91775286,3593.934425,-0.25,10.11206033,7,83500000000,2015.64303,2.507488574,6
16.71954741,11.36692274,98.74050353,4915.533841,-0.2,10.23559231,7,83500000000,2016.767676,1.562488942,6
15.60593643,11.34506247,99.00617216,4338.299086,-0.2,10.12877511,7,83500000000,2019.714639,0.505950508,6
